yearterm,subject,crse,sec,onlineFCQ,bd_continuing_education,instructor_last,instructor_first,forms_requested,forms_returned,percentage_passed,course_overall,course_overall_SD,instructor_overall,instructor_overall_SD,total_hours,prior_interest,effectiveness,availability,challenge,amount_learned,respect,course_title,courseOverall_old,courseOverall_SD_old,instrOverall_old,instrOverall_SD_old,r_Fair,r_Access,workload,r_Divstu,r_Diviss,r_Presnt,r_Explan,r_Assign,r_Motiv,r_Learn,r_Complx,campus,college,aSdiv,level,fcqdept,instructor_group,i_Num
20137,PHIL,1000,001,,,KAUFMAN, DANIEL,42,29,0.9654541015625,5.25,0.7991943359375,5.3564453125,0.911376953125,4-6,3.892578125,5.3212890625,4.740234375,4.2138671875,5,5.62890625,INTRO TO PHILOSOPHY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TTT,1
20137,PHIL,1000,002,,,MONTON, BRADLEY,40,22,1,4.6357421875,1.216552734375,4.8173828125,1.258544921875,4-6,3.7724609375,4.5,5,4.3173828125,4.5,5.7265625,INTRO TO PHILOSOPHY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TTT,1
20137,PHIL,1000,003,,,WEIRICH, KELLY,34,30,1,5.232421875,0.8582763671875,5.666015625,0.546630859375,4-6,3.66650390625,5.06640625,5.3994140625,3.63330078125,4.896484375,6,INTRO TO PHILOSOPHY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1000,004,,,WARREN, KACEY,35,26,1,4.69140625,1.010498046875,5.1533203125,0.784423828125,4-6,3.5380859375,4.7685546875,5.1533203125,4.5380859375,4.576171875,5.8076171875,INTRO TO PHILOSOPHY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1000,005,,,WEIRICH, KELLY,34,26,1,4.9609375,0.9156494140625,5.4228515625,0.70263671875,4-6,3.8076171875,5.115234375,5.3837890625,3.88427734375,4.73046875,5.9609375,INTRO TO PHILOSOPHY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1000,006,,,PIKE, MATTHEW,32,21,1,4.76171875,0.943603515625,5.1904296875,1.0302734375,4-6,3.61865234375,4.904296875,5.046875,4.904296875,5.046875,5.904296875,INTRO TO PHILOSOPHY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1000,007,,,BARNETT, DAVID,34,26,1,5.3076171875,0.788330078125,5.69140625,0.549072265625,4-6,3.8076171875,5.615234375,5.4228515625,4.8076171875,5.076171875,5.73046875,INTRO TO PHILOSOPHY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TTT,1
20137,PHIL,1000,008,,,PIKE, MATTHEW,35,28,1,4.392578125,0.9163818359375,5.142578125,0.8482666015625,4-6,3.75,4.8212890625,5.142578125,4.677734375,4.4638671875,5.6064453125,INTRO TO PHILOSOPHY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1000,009,,,KOSLICKI, KATHRIN,35,25,1,4.1591796875,1.14306640625,4.6796875,1.069091796875,4-6,3.83984375,4.1591796875,5.0791015625,4.3193359375,4.2392578125,5.8798828125,INTRO TO PHILOSOPHY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TTT,1
20137,PHIL,1000,010,,,POTTER, JASON,34,23,1,4.521484375,1.122802734375,4.912109375,1.04052734375,4-6,3.47802734375,4.6953125,5.0869140625,4.5,4.408203125,5.869140625,INTRO TO PHILOSOPHY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
