yearterm,subject,crse,sec,instructor_last,instructor_first,forms_requested,forms_returned,percentage_passed,course_overall,course_overall_SD,instructor_overall,instructor_overall_SD,total_hours,prior_interest,effectiveness,availability,challenge,amount_learned,respect,course_title,campus,college,instructor_group
20121,CSCI,1240,1,EISENBERG,MICHAEL,35,12,100%,5.2,0.9,5.4,1,4-6,4.3,5.3,5.2,4,4.8,5.8,COMPUTATIONAL WORLD,BD,EN,TTT
20121,CSCI,1300,100,DUPLYAKIN,DMITRY,259,131,99%,4.8,1.1,4.7,1.1,7-9,4.4,4.4,5,4.6,4.9,5.9,COMP SCI I: PROGRAMMING,BD,EN,TA
20121,CSCI,1300,102,WING,ROWAN,24,19,100%,4.9,0.9,5.7,0.5,4-6,4.1,5.3,5.8,4.8,5.2,6,COMP SCI I: PROGRAMMING,BD,EN,TA
20121,CSCI,1300,103,WING,ROWAN,24,13,100%,4.6,1,5.8,0.4,4-6,4.8,5.2,5.7,4.3,4.5,6,COMP SCI I: PROGRAMMING,BD,EN,TA
20121,CSCI,1300,104,BARRENECHEA,MARIO,25,16,94%,4.5,0.6,4.4,1,4-6,4.5,4.2,5.2,3.9,4.3,5.9,COMP SCI I: PROGRAMMING,BD,EN,TA
20121,CSCI,1300,105,BARRENECHEA,MARIO,24,12,100%,4.8,1.4,5.5,0.7,7-9,4.2,5.1,5.2,4.9,4.8,6,COMP SCI I: PROGRAMMING,BD,EN,TA
20121,CSCI,1300,106,BARRENECHEA,MARIO,25,14,93%,4.9,1,5.2,1.3,4-6,4.4,5,5.6,4.4,4.6,5.9,COMP SCI I: PROGRAMMING,BD,EN,TA
20121,CSCI,1300,107,WING,ROWAN,24,19,100%,4.6,1.1,5.4,1,7-9,4.2,4.8,5.4,4.8,5.2,5.8,COMP SCI I: PROGRAMMING,BD,EN,TA
20121,CSCI,1300,108,BASAWAPATNA,ASHOK,25,16,100%,5.4,0.6,5.8,0.4,7-9,3.4,5.4,5.6,5.1,5.8,6,COMP SCI I: PROGRAMMING,BD,EN,TA
20121,CSCI,1300,109,BASAWAPATNA,ASHOK,24,13,100%,5.4,0.7,5.5,0.7,7-9,4.5,5.2,5.2,5.1,5.3,5.9,COMP SCI I: PROGRAMMING,BD,EN,TA
20121,CSCI,1300,111,BASAWAPATNA,ASHOK,23,5,100%,5,1,5.4,0.9,7-9,5.2,4.8,4.8,4.4,4.8,5.2,COMP SCI I: PROGRAMMING,BD,EN,TA
20121,CSCI,1300,112,COLEMAN,DAVID,18,14,100%,4.4,1.5,5,1.3,7-9,4.5,4.1,4.5,4.6,4.5,5.6,COMP SCI I: PROGRAMMING,BD,EN,TA
